,address,id,name,opening_hours,postcode,query_timestamp,rating,types,latitude,longitude
0,"442 Strand, London WC2R 0QU, UK",ChIJG4_Lkc4EdkgRl7ZEQE9Q5Q0,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 5:30 AM – 10:00 PM', 'Tuesday: 5:30 AM – 10:00 PM', 'Wednesday: 5:30 AM – 10:00 PM', 'Thursday: 5:30 AM – 10:30 PM', 'Friday: 5:30 AM – 10:30 PM', 'Saturday: 7:00 AM – 10:30 PM', 'Sunday: 8:00 AM – 10:00 PM']}",WC2R 0QU,2017-12-21 14:20:55 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5088759,-0.1253649
1,"53-, 55 Pimlico Rd, Belgravia, London SW1W 8NE, UK",ChIJb0ODZBcFdkgRHcWW0nWGqVc,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0630'}}], 'weekday_text': ['Monday: 6:00 AM – 7:30 PM', 'Tuesday: 6:00 AM – 7:30 PM', 'Wednesday: 6:00 AM – 7:30 PM', 'Thursday: 6:00 AM – 7:30 PM', 'Friday: 6:00 AM – 7:30 PM', 'Saturday: 6:30 AM – 7:00 PM', 'Sunday: 7:00 AM – 7:00 PM']}",SW1W 8NE,2017-12-21 14:20:55 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.4904591,-0.1528875
2,"159 Great Portland St, London W1N 5FD, UK",ChIJfZzgXdYadkgRpusOQIiSFGk,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '0615'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '0615'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '0615'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '0615'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '0615'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 6:15 AM – 8:30 PM', 'Tuesday: 6:15 AM – 8:30 PM', 'Wednesday: 6:15 AM – 8:30 PM', 'Thursday: 6:15 AM – 8:30 PM', 'Friday: 6:15 AM – 8:30 PM', 'Saturday: 7:00 AM – 8:00 PM', 'Sunday: 7:00 AM – 8:00 PM']}",W1N 5FD,2017-12-21 14:20:56 Europe/London,4,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5214085,-0.1435121
3,"1-3 Villiers St, London WC2N 6NN, UK",ChIJcb8wyc4EdkgRIqrR_SGdVLc,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0545'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0545'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0545'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0545'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0545'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0630'}}], 'weekday_text': ['Monday: 5:45 AM – 11:00 PM', 'Tuesday: 5:45 AM – 11:00 PM', 'Wednesday: 5:45 AM – 11:00 PM', 'Thursday: 5:45 AM – 11:00 PM', 'Friday: 5:45 AM – 11:00 PM', 'Saturday: 6:30 AM – 11:00 PM', 'Sunday: 7:30 AM – 9:30 PM']}",WC2N 6NN,2017-12-21 14:20:56 Europe/London,3.8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5074566,-0.1228585
4,"4a, 44 Brompton Rd, Knightsbridge, London SW3 1BW, UK",ChIJ5eIc6jgFdkgRNETkwOLAAYA,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 6:30 AM – 10:00 PM', 'Tuesday: 6:30 AM – 10:00 PM', 'Wednesday: 6:30 AM – 10:00 PM', 'Thursday: 6:30 AM – 10:00 PM', 'Friday: 6:30 AM – 10:00 PM', 'Saturday: 7:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 9:00 PM']}",SW3 1BW,2017-12-21 14:20:56 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5008308,-0.1626405
5,"R:P:490, Canada Square, Canary Wharf, London E14 5AB, UK",ChIJGVo7YbcCdkgRzfyulW9hMMU,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0930'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 6:00 AM – 8:00 PM', 'Tuesday: 6:00 AM – 8:00 PM', 'Wednesday: 6:00 AM – 8:00 PM', 'Thursday: 6:00 AM – 8:00 PM', 'Friday: 6:00 AM – 8:00 PM', 'Saturday: 9:00 AM – 7:00 PM', 'Sunday: 9:30 AM – 5:00 PM']}",E14 5AB,2017-12-21 14:20:57 Europe/London,3.7,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5031548,-0.018803
6,"47-49 Queensway, London W2 4QH, UK",ChIJoQGb71UFdkgRqXoKr4KUick,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 6:30 AM – 11:00 PM', 'Tuesday: 6:30 AM – 11:00 PM', 'Wednesday: 6:30 AM – 11:00 PM', 'Thursday: 6:30 AM – 11:00 PM', 'Friday: 6:30 AM – 11:00 PM', 'Saturday: 7:00 AM – 11:00 PM', 'Sunday: 7:30 AM – 11:00 PM']}",W2 4QH,2017-12-21 14:20:57 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5117122,-0.1876108
7,"30-34A New Bridge St, London EC4V 6BJ, UK",ChIJJ9HYxLkEdkgRMSNTGBfqRnc,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0730'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 5:30 AM – 9:00 PM', 'Tuesday: 5:30 AM – 9:00 PM', 'Wednesday: 5:30 AM – 9:00 PM', 'Thursday: 5:30 AM – 9:00 PM', 'Friday: 5:30 AM – 9:00 PM', 'Saturday: 7:30 AM – 8:00 PM', 'Sunday: 7:30 AM – 8:00 PM']}",EC4V 6BJ,2017-12-21 14:20:57 Europe/London,3.7,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5126833,-0.1038573
8,"3C/3D, East Block County Hall, Belvedere Road, Lambeth, London SE1 7GQ, UK",ChIJbd6czrkEdkgRKdoEMZIkaew,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2230'}, 'open': {'day': 0, 'time': '0630'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2230'}, 'open': {'day': 6, 'time': '0630'}}], 'weekday_text': ['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:30 AM – 10:30 PM', 'Sunday: 6:30 AM – 10:30 PM']}",SE1 7GQ,2017-12-21 14:20:58 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5019633,-0.1188522
9,"2 Churchill Pl, Canary Wharf, London E14 5RB, UK",ChIJfxWzfLACdkgR2yzBWJloG90,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0930'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}], 'weekday_text': ['Monday: 6:00 AM – 7:00 PM', 'Tuesday: 6:00 AM – 7:00 PM', 'Wednesday: 6:00 AM – 7:00 PM', 'Thursday: 6:00 AM – 7:00 PM', 'Friday: 6:00 AM – 7:00 PM', 'Saturday: 9:00 AM – 5:00 PM', 'Sunday: 9:30 AM – 5:00 PM']}",E14 5RB,2017-12-21 14:20:58 Europe/London,3.5,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5044402,-0.0149265
10,"2/3 Conduit St, Mayfair, London W1S 2BX, UK",ChIJZZmpzywFdkgRmXMBk-YKjbs,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2230'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2230'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2230'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:30 PM', 'Thursday: 6:00 AM – 10:30 PM', 'Friday: 6:00 AM – 10:30 PM', 'Saturday: 6:00 AM – 11:00 PM', 'Sunday: 7:00 AM – 10:00 PM']}",W1S 2BX,2017-12-21 14:20:58 Europe/London,3.9,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5129985,-0.1411649
11,"41, 43 Bedford Hill, London SW12 9EY, UK",ChIJj5Prp88FdkgRK_rDthCYoDk,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '1930'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1930'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 6:00 AM – 7:30 PM', 'Tuesday: 6:00 AM – 7:30 PM', 'Wednesday: 6:00 AM – 7:30 PM', 'Thursday: 6:00 AM – 7:30 PM', 'Friday: 6:00 AM – 7:30 PM', 'Saturday: 7:00 AM – 7:30 PM', 'Sunday: 7:00 AM – 7:30 PM']}",SW12 9EY,2017-12-21 14:20:59 Europe/London,4.1,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.4439392,-0.150157
12,"Swiss Cottage, O2 Centre, 255 Finchley Rd, London NW3 6LU, UK",ChIJ4QnlloQadkgR4Po7gC_jl4A,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0830'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0630'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0630'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0630'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0630'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0630'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 6:30 AM – 9:00 PM', 'Tuesday: 6:30 AM – 9:00 PM', 'Wednesday: 6:30 AM – 9:00 PM', 'Thursday: 6:30 AM – 9:00 PM', 'Friday: 6:30 AM – 10:00 PM', 'Saturday: 7:30 AM – 10:00 PM', 'Sunday: 8:30 AM – 9:00 PM']}",NW3 6LU,2017-12-21 14:20:59 Europe/London,2.7,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5477021,-0.1825006
13,"126 Baker St, Marylebone, London W1M 1FH, UK",ChIJr-Y46s4adkgRqUm9-x_njFU,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0630'}}], 'weekday_text': ['Monday: 6:00 AM – 10:00 PM', 'Tuesday: 6:00 AM – 10:00 PM', 'Wednesday: 6:00 AM – 10:00 PM', 'Thursday: 6:00 AM – 10:00 PM', 'Friday: 6:00 AM – 10:00 PM', 'Saturday: 6:30 AM – 10:00 PM', 'Sunday: 7:00 AM – 9:00 PM']}",W1M 1FH,2017-12-21 14:21:00 Europe/London,3.8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5215991,-0.1570933
14,"24, St Pancras International Station, Pancras Rd, Kings Cross, London NW1 2QL, UK",ChIJf8oaiDwbdkgRdTgLUPthfds,Starbucks Coffee,"{'open_now': True, 'periods': [{'open': {'day': 0, 'time': '0000'}}], 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}",NW1 2QL,2017-12-21 14:21:00 Europe/London,3.6,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.532148,-0.126363
15,"2 S Lambeth Rd, London SW8 1SP, UK",ChIJs5vKe-4EdkgRD8HNoYHiATQ,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0630'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0500'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0500'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0500'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0500'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0500'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0630'}}], 'weekday_text': ['Monday: 5:00 AM – 10:00 PM', 'Tuesday: 5:00 AM – 10:00 PM', 'Wednesday: 5:00 AM – 10:00 PM', 'Thursday: 5:00 AM – 10:00 PM', 'Friday: 5:00 AM – 10:00 PM', 'Saturday: 6:30 AM – 9:00 PM', 'Sunday: 6:30 AM – 9:00 PM']}",SW8 1SP,2017-12-21 14:21:00 Europe/London,3.6,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.485696,-0.123569
16,"46 Broadway, London E15 1NG, UK",ChIJN37aBWIddkgRcRLBi1Pt1sI,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0600'}}], 'weekday_text': ['Monday: 6:00 AM – 8:00 PM', 'Tuesday: 6:00 AM – 8:00 PM', 'Wednesday: 6:00 AM – 8:00 PM', 'Thursday: 6:00 AM – 8:00 PM', 'Friday: 6:00 AM – 8:00 PM', 'Saturday: 6:00 AM – 8:00 PM', 'Sunday: 7:00 AM – 8:00 PM']}",E15 1NG,2017-12-21 14:21:00 Europe/London,3.8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5411785,0.0014271
17,"11 Replingham Rd, London SW18 5LT, UK",ChIJhW6QlEYPdkgRR12tEdgO4tE,Starbucks,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '0530'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '0530'}}], 'weekday_text': ['Monday: 5:30 AM – 8:30 PM', 'Tuesday: 5:30 AM – 8:30 PM', 'Wednesday: 5:30 AM – 8:30 PM', 'Thursday: 5:30 AM – 8:30 PM', 'Friday: 5:30 AM – 8:30 PM', 'Saturday: 5:30 AM – 8:30 PM', 'Sunday: 5:30 AM – 8:30 PM']}",SW18 5LT,2017-12-21 14:21:01 Europe/London,4.2,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.4448817,-0.2056879
18,"33 Cavendish Square, Marylebone, London W1G 0PW, UK",ChIJXdRwINUadkgRLAJJCXouhyI,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '0730'}}], 'weekday_text': ['Monday: 6:00 AM – 8:30 PM', 'Tuesday: 6:00 AM – 8:30 PM', 'Wednesday: 6:00 AM – 8:30 PM', 'Thursday: 6:00 AM – 8:30 PM', 'Friday: 6:00 AM – 8:30 PM', 'Saturday: 7:30 AM – 8:00 PM', 'Sunday: 9:00 AM – 8:00 PM']}",W1G 0PW,2017-12-21 14:21:01 Europe/London,3.8,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.5160119,-0.1441298
19,"4, Fulham Broadway Centre, Fulham Broadway, Fulham, London SW6 1BY, UK",ChIJJdzkLYQPdkgRwMcQvaE8pGw,Starbucks Coffee,"{'open_now': True, 'periods': [{'close': {'day': 0, 'time': '2200'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2200'}, 'open': {'day': 1, 'time': '0530'}}, {'close': {'day': 2, 'time': '2200'}, 'open': {'day': 2, 'time': '0530'}}, {'close': {'day': 3, 'time': '2200'}, 'open': {'day': 3, 'time': '0530'}}, {'close': {'day': 4, 'time': '2200'}, 'open': {'day': 4, 'time': '0530'}}, {'close': {'day': 5, 'time': '2200'}, 'open': {'day': 5, 'time': '0530'}}, {'close': {'day': 6, 'time': '2200'}, 'open': {'day': 6, 'time': '0700'}}], 'weekday_text': ['Monday: 5:30 AM – 10:00 PM', 'Tuesday: 5:30 AM – 10:00 PM', 'Wednesday: 5:30 AM – 10:00 PM', 'Thursday: 5:30 AM – 10:00 PM', 'Friday: 5:30 AM – 10:00 PM', 'Saturday: 7:00 AM – 10:00 PM', 'Sunday: 7:00 AM – 10:00 PM']}",SW6 1BY,2017-12-21 14:21:01 Europe/London,4,"['cafe', 'food', 'store', 'point_of_interest', 'establishment']",51.4803939,-0.194395
